@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
196,0,0.684,0.316,0.902,positive
46278,0.027,0.801,0.173,0.9533,positive
10240,0.009,0.842,0.149,0.9777,positive
12285,0,0.848,0.152,0.8012,neutral
62417,0,0.585,0.415,0.9498,positive
69004,0.012,0.739,0.25,0.9798,positive
27056,0.042,0.869,0.09,0.5091,negative
9382,0,0.667,0.333,0.958,positive
8839,0.031,0.666,0.303,0.9377,positive
32290,0.029,0.945,0.026,-0.0772,negative
41405,0,0.795,0.205,0.9129,positive
71437,0.024,0.76,0.216,0.9703,positive
5536,0.022,0.871,0.107,0.8313,positive
55926,0.034,0.764,0.201,0.9784,positive
19197,0.181,0.689,0.13,-0.7078,negative
26956,0.252,0.701,0.048,-0.9929,negative
58197,0.059,0.811,0.13,0.9275,negative
70954,0,1,0,0,positive
64089,0,0.76,0.24,0.9661,positive
38040,0.033,0.91,0.058,0.4114,negative
31397,0.081,0.576,0.343,0.8984,positive
20297,0.106,0.792,0.101,-0.416,negative
47248,0,0.739,0.261,0.9958,neutral
67731,0,0.697,0.303,0.9042,positive
48283,0.051,0.736,0.213,0.9802,neutral
54979,0,0.872,0.128,0.7424,positive
72343,0,0.307,0.693,0.9062,positive
44180,0,0.87,0.13,0.4588,positive
34911,0.034,0.647,0.319,0.987,positive
41461,0,0.779,0.221,0.9124,positive
45253,0.076,0.853,0.071,-0.127,neutral
21068,0,0.626,0.374,0.9848,positive
18562,0.07,0.788,0.141,0.8726,positive
63775,0.014,0.742,0.245,0.974,positive
46316,0,1,0,0,negative
21162,0,0.873,0.127,0.8513,positive
45282,0.115,0.843,0.043,-0.7423,neutral
51915,0.056,0.894,0.051,-0.0516,negative
72353,0.024,0.794,0.183,0.9676,positive
68021,0.015,0.816,0.169,0.9524,positive
72069,0,0.83,0.17,0.9412,positive
12206,0.207,0.691,0.102,-0.6199,negative
13132,0.064,0.73,0.206,0.8806,negative
62850,0,0.73,0.27,0.9766,positive
13406,0.024,0.894,0.082,0.6269,negative
41525,0.023,0.862,0.115,0.9121,neutral
52224,0.022,0.866,0.112,0.8689,positive
51416,0.037,0.811,0.152,0.9478,positive
65312,0.04,0.852,0.108,0.6202,positive
40799,0.142,0.839,0.019,-0.9099,positive
25647,0.061,0.749,0.19,0.9825,positive
10797,0,0.645,0.355,0.9551,positive
53784,0.029,0.898,0.073,0.5423,positive
71531,0,0.838,0.162,0.4019,positive
57283,0.098,0.605,0.297,0.8714,positive
57052,0.029,0.757,0.214,0.9221,negative
27149,0.247,0.73,0.023,-0.9574,negative
61380,0,0.696,0.304,0.9888,positive
35461,0.053,0.858,0.089,0.5964,neutral
12882,0.188,0.801,0.011,-0.933,negative
5006,0.077,0.813,0.11,0.8389,negative
33777,0.048,0.802,0.15,0.7667,positive
28083,0.147,0.53,0.322,0.9506,positive
70369,0.037,0.787,0.176,0.9761,positive
64953,0.155,0.608,0.237,0.3578,positive
19002,0.026,0.866,0.108,0.8652,neutral
